,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Cumulative_cases,Cumulative_deaths
104,Malawi,MWI,AFRO,REPORTING,2023-12-31,8503954.0,5433538.0,44.0,28.0,4288014.0,22.0,,2021-03-11,,1232829.0,6.0,89168.0,2686.0
105,Malaysia,MYS,WPRO,REPORTING,2023-12-31,72647279.0,28137593.0,224.0,87.0,27550612.0,85.0,,2021-02-24,,16347670.0,51.0,5314299.0,37351.0
106,Namibia,NAM,AFRO,REPORTING,2023-12-31,1005937.0,629767.0,40.0,25.0,550978.0,22.0,,2021-03-19,,298560.0,12.0,172556.0,4110.0
107,Niger,NER,AFRO,REPORTING,2023-12-31,7372208.0,6248483.0,30.0,26.0,5483001.0,23.0,,2021-03-29,,,,9525.0,315.0
108,Nigeria,NGA,AFRO,REPORTING,2023-12-31,133048021.0,93829435.0,65.0,46.0,81297808.0,39.0,,2021-03-05,,16826715.0,8.0,267189.0,3155.0
109,Nicaragua,NIC,AMRO,REPORTING,2023-12-29,15507763.0,6404524.0,234.0,97.0,6126708.0,92.0,,2021-03-03,,2892531.0,44.0,16193.0,245.0
110,Norway,NOR,EURO,REPORTING,2023-12-23,13020641.0,4346149.0,243.0,81.0,4061312.0,76.0,,2020-12-23,,3705726.0,69.0,1519746.0,5732.0
111,Panama,PAN,AMRO,REPORTING,2023-12-29,9201276.0,3746041.0,213.0,87.0,3178700.0,74.0,,2021-01-20,,1770843.0,41.0,1044914.0,8754.0
112,Peru,PER,AMRO,REPORTING,2023-12-29,91328338.0,30542485.0,277.0,93.0,28709882.0,87.0,,2021-02-09,,22245062.0,67.0,4526977.0,220975.0
113,Papua New Guinea,PNG,WPRO,REPORTING,2023-12-04,543670.0,399198.0,6.0,4.0,338004.0,4.0,,2021-03-30,,37525.0,,46864.0,670.0
114,Poland,POL,EURO,REPORTING,2023-12-23,58634593.0,22984543.0,154.0,61.0,22705868.0,60.0,,2020-12-23,,12928562.0,34.0,6727722.0,120816.0
115,Puerto Rico,PRI,AMRO,REPORTING,2023-12-29,7846764.0,3136418.0,274.0,100.0,2688410.0,94.0,,,,1808780.0,63.0,1252713.0,5938.0
116,Portugal,PRT,EURO,REPORTING,2023-12-23,27360186.0,9822021.0,266.0,95.0,8910340.0,87.0,,2020-12-23,,7052055.0,68.0,5668055.0,28977.0
117,Paraguay,PRY,AMRO,REPORTING,2023-12-29,9954852.0,3995915.0,140.0,56.0,3550673.0,50.0,,2021-02-22,,1660766.0,23.0,735759.0,19880.0
118,Romania,ROU,EURO,REPORTING,2023-12-23,16112261.0,8188137.0,83.0,42.0,8142363.0,42.0,,2021-01-27,,1770001.0,9.0,3565107.0,68899.0
119,Russian Federation,RUS,EURO,REPORTING,2023-12-23,187374508.0,89081596.0,128.0,61.0,79702396.0,55.0,,,,,,24424123.0,403352.0
120,Rwanda,RWA,AFRO,REPORTING,2023-12-31,27322059.0,10884714.0,211.0,84.0,10399665.0,80.0,,2021-03-05,,5879013.0,45.0,133266.0,1468.0
121,Sudan,SDN,EMRO,REPORTING,2023-12-31,28662107.0,15207452.0,65.0,35.0,13416394.0,31.0,,2021-03-09,,38261.0,,63993.0,5046.0
122,Senegal,SEN,AFRO,REPORTING,2023-12-31,3182308.0,2684696.0,19.0,16.0,1548665.0,9.0,,2021-02-23,,724754.0,4.0,89311.0,1972.0
123,Sierra Leone,SLE,AFRO,REPORTING,2023-12-31,9155936.0,5676123.0,115.0,71.0,4961886.0,62.0,,2021-03-15,,1201709.0,15.0,7982.0,126.0
124,El Salvador,SLV,AMRO,REPORTING,2023-12-29,11459448.0,4659970.0,177.0,72.0,4397817.0,68.0,,2021-02-17,,1908547.0,29.0,201950.0,4230.0
125,San Marino,SMR,EURO,REPORTING,2023-12-23,69338.0,26357.0,204.0,78.0,23633.0,70.0,,2021-02-24,,19348.0,57.0,25292.0,126.0
126,Somalia,SOM,EMRO,REPORTING,2023-12-31,8784760.0,8972167.0,55.0,56.0,7666835.0,48.0,,2021-03-16,,,,27334.0,1361.0
127,Serbia,SRB,EURO,REPORTING,2023-12-23,6722671.0,3398116.0,97.0,49.0,3324555.0,48.0,,2020-12-23,,,,2583470.0,18057.0
128,South Sudan,SSD,AFRO,REPORTING,2023-12-31,4365547.0,4315127.0,39.0,39.0,4273253.0,38.0,,2021-04-06,,513122.0,5.0,18830.0,147.0
129,Sao Tome and Principe,STP,AFRO,REPORTING,2023-12-31,263863.0,140256.0,120.0,64.0,111986.0,51.0,,2021-03-15,,34624.0,16.0,6771.0,80.0
130,Suriname,SUR,AMRO,REPORTING,2023-12-29,554588.0,267820.0,95.0,46.0,237879.0,41.0,,2021-02-23,,48889.0,8.0,82503.0,1406.0
131,Slovakia,SVK,EURO,REPORTING,2023-12-23,7222380.0,2840017.0,132.0,52.0,2791711.0,51.0,,2020-12-23,,1686458.0,31.0,1879882.0,21231.0
132,Slovenia,SVN,EURO,REPORTING,2023-12-23,3028400.0,1252307.0,144.0,60.0,1187384.0,57.0,,2020-12-23,,681485.0,33.0,1358356.0,9710.0
133,Sweden,SWE,EURO,REPORTING,2023-12-23,23237123.0,7563941.0,225.0,73.0,7403549.0,72.0,,2020-12-23,,5542831.0,54.0,2761334.0,27734.0
134,Eswatini,SWZ,AFRO,REPORTING,2023-12-31,870205.0,526050.0,75.0,45.0,427335.0,37.0,,2021-03-19,,179450.0,15.0,75356.0,1427.0
135,Seychelles,SYC,AFRO,REPORTING,2023-12-31,224558.0,88520.0,228.0,90.0,83565.0,85.0,,2021-01-10,,44936.0,46.0,51891.0,172.0
136,Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-12-29,73907.0,32815.0,191.0,85.0,30710.0,79.0,,2021-01-11,,7443.0,19.0,6805.0,40.0
137,Chad,TCD,AFRO,REPORTING,2023-12-31,9151765.0,5147667.0,56.0,31.0,5020360.0,31.0,,2021-06-04,,4042573.0,25.0,7702.0,194.0
138,Togo,TGO,AFRO,REPORTING,2023-12-31,3423181.0,2255579.0,41.0,27.0,1554066.0,19.0,,2021-03-10,,427804.0,5.0,39531.0,290.0
139,Tajikistan,TJK,EURO,REPORTING,2023-12-23,20568163.0,5328277.0,216.0,56.0,5191919.0,54.0,,2021-03-24,,5322496.0,56.0,17786.0,125.0
